number,style,text
70,Body Text,"Twelve years in the writing/selling/publishing industry gives Susan insight into all aspects of the process. Her experience watching would-be writers struggle and sometimes fail led her to help others. Memoir writing is unique—the writer already knows the story, who the characters are, etc. But the would-be writer can feel"
71,Body Text,"overwhelmed, confused and unsure of one’s abilities. The purpose of this class is to help you gain self-confidence in your abilities, determine your ultimate goal, embrace imperfection, understand alternate memoir structures and recognize and avoid pitfalls. Let’s begin!"
72,Body Text,11:00 AM - 12:00 PM | $
73,Body Text,Instructor: Rhonda Robinson
74,Body Text,"Knowing how to use social media is becoming an essential 21st century skill. Facebook is an excellent way for family members to keep in touch in our busy and often geographically dispersed lives. Understand the basics of how to create, use, and maintain a Facebook page of your own, including understanding Facebook privacy settings and additional tips about what to share. A survey will be emailed before class so that your questions and concerns will be thoroughly covered."
75,Body Text,10:00 AM - 12:00 PM | $
76,Body Text,Instructor: Krista Schilling
77,Body Text,"Learn how to create a beautiful unique landscape using watercolors in this paint-along class. Supplies needed: watercolor paper, a water color pallet or liquid watercolor or gouache paints, paintbrushes, paper towels or napkins, a pencil and an optional black pen to add details. These items can be purchased online through Walmart pickup, or Amazon.com."
78,Body Text,1:00 PM - 2:15 PM | $
79,Body Text,Instructor: Dean DeBolt
80,Body Text,Find out the history and story of Pensacola’s first astronaut. Join us to find out who it was!
81,Body Text,10:00 AM - 11:00 AM | $
82,Body Text,Instructor: Jim Roberts
83,Body Text,Live Green! Join us for a virtual presentation for the ECUA Compost Facility on why composting operations began and how the process works.
84,Body Text,1:00 PM - 2:15 PM | $
85,Body Text,Instructor: Dean DeBolt
86,Body Text,"This class covers the story of two individuals with connections to Pensacola and their influence on national history — one in the 18th century and one in the 20th century. Interestingly, both have had movies made about them."
87,Body Text,10:00 AM - 11:00 AM | $
88,Body Text,Instructor: Dr. Jane Halonen
89,Body Text,"If you’ve ever wondered about how textbooks come into existence or why the cost of textbooks is so darned expensive, this is the session for you. Psychologist"
90,Body Text,"Jane Halonen will provide an insider’s view of textbook publishing. She will talk about how authors get recruited, the process that publication entails, and the complex factors that keep textbook costs so high. She will also explore the promise of the open educational resource movement which attempts to deliver textbook sources at no cost to students."
91,Body Text,10:00 AM - 11:00 AM | $
92,Body Text,Instructor: Will Underwood
93,Body Text,Join us for a discussion of what has made Baldwin County a settlement hotspot for the last several hundred years.
94,Body Text,1:00 PM - 2:15 PM | $
95,Body Text,Instructor: Dean DeBolt
96,Body Text,"Join us online to learn more about the history of the Julee Panton Cottage in the Pensacola Historic Village. Find out who Julee was, the history of the preservation of the House and movement to the Seville Square area, and identifying history versus myths."
97,Body Text,10:00 AM - 11:15 AM | $
98,Body Text,Instructor: Dr. Rodney Guttmann
99,Body Text,"This course has two parts: First, a short video showing what it is like to be a research student at UWF working on developing biomarkers for the early detection of Alzheimer’s disease. Second, will be a short synchronous presentation and Q and A with Dr. Guttmann regarding his research and the current state of clinical trials for treating dementia."
100,Body Text,11:00 AM - 12:00 PM | $
101,Body Text,"Instructor: Stephanie McNeill, MPS"
102,Body Text,"“Flaming like the wild roses, singing like the larks over the plowed fields, flashing like a star out of the twilight.” Willa Cather is recognized as one of the greatest writers of the 20th century, giving a voice to the American Spirit. She captures a sense of place, as she immerses us in the Nebraska landscape. A Pulitzer-Prize winning author for One of Ours, her novel about war, critics have increasingly"
103,Normal,Summer 2020 Online Classes
104,Body Text,"identified Cather as a canonical American writer, the peer of authors like Hemingway, Faulkner and Wharton. We will sample her short fiction in three stories, all available on-line from the University of Nebraska/Lincoln. ‘Paul’s Case: A Study in Temperament’ https://cather.unl.edu/ writings/shortfiction/ss006, ‘The Bookkeeper’s Wife’ https://cather.unl.edu/writings/shortfiction/ss047 and ‘The Joy of Nelly Dean’ https://cather.unl.edu/writings/ shortfiction/ss014."
105,Body Text,11:00 AM - 12:00 PM | $
106,Body Text,Instructor: Kate Peterson
107,Body Text,This presentation on the practice of open burning
108,Body Text,"and open detonation of waste munitions at Eglin Air Force Base and other locations around the country will educate you on the process and explain the negative effects to the health of our service members, their families, civilian populations and the environment."
109,Body Text,10:00 AM - 11:00 AM | $
110,Body Text,Instructor: Angela Underwood
111,Body Text,"Alabama is one of the most biologically diverse states in the U.S. when it comes to plants and animals. Discover what has shaped Alabama's rich natural history, and learn about unique ecological sites to visit around the state."
112,Body Text,"Phone registrations by credit card will be open on Tuesday, May 26, 2020 9 a.m. to 1 p.m. ONLY (call 850.474.3491)."
113,Normal,Summer 2020 Online Class Schedule
114,Body Text,SUNDAY	MONDAY	TUESDAY	WEDNESDAY	THURSDAY	FRIDAY	SATURDAY
115,Body Text,SUNDAY	MONDAY	TUESDAY	WEDNESDAY	THURSDAY	FRIDAY	SATURDAY
